ID;Provincia;Localidad;Codigo postal;Direccion;Margen;Rotulo;Precio gasolina 95 E5;Precio gasolina 98 E5;Precio gasoleo A
1;ALBACETE;ABENGIBRE;2250;AVENIDA CASTILLA LA MANCHA, 26;D;No 10.935;1.699;-1;1.599
2;ALBACETE;ALATOZ;2152;CR CM-332, 46,4;I;REPSOL;1.839;2.2;1.78
3;ALBACETE;ALBACETE;2001;CALLE FEDERICO GARCIA LORCA, 5;I;CEPSA;-1;-1;1.75
4;ALBACETE;ALBACETE;2001;AVENIDA 1o DE MAYO, S-N;N;CARREFOUR;1.719;1.849;1.719
5;ALBACETE;ALBACETE;2001;CALLE FEDERICO GARCIA LORCA, 1;D;PLENOIL;1.639;-1;1.609
6;ALBACETE;ALBACETE;2001;CALLE PRINCIPE DE ASTURIAS [POLIGONO DE ROMICA], 5;I;BP ROMICA;1.719;1.861;1.709
7;ALBACETE;ALBACETE;2005;AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;A&A;1.698;-1;1.598
8;ALBACETE;ALBACETE;2005;AVENIDA MENENDEZ PIDAL, 58;N;TAMOS;1.719;1.839;1.709
9;ALBACETE;ALBACETE;2005;CL PASEO DE LA CUBA, 15;D;REPSOL;1.719;1.839;1.709
10;ALBACETE;ALBACETE;2005;PASEO CUBA [LA], 36;N;CEPSA;1.754;1.886;1.745
11;ALBACETE;ALBACETE;2002;CALLE HERMANOS FALCO, 2;D;CEPSA;1.799;1.939;1.759
12;ALBACETE;ALBACETE;2006;CARRETERA N-322 KM. 359;D;REPSOL;1.709;1.829;1.709
13;ALBACETE;ALBACETE;2006;AVDA. DE LOS TOREROS, S-N;N;INPEALSA;1.699;-1;1.649
14;ALBACETE;ALBACETE;2006;CR N-301, 244;I;REPSOL;1.719;1.839;1.719
15;ALBACETE;ALBACETE;2006;CARRETERA JAEN KM. 2;D;REPSOL;1.729;1.849;1.729
16;ALBACETE;ALBACETE;2006;CARRETERA NACIONAL 322 PTO KM 347 KM. 347;D;P347;-1;-1;1.639
17;ALBACETE;ALBACETE;2006;AVENIDA 1o DE MAYO, S-N;N;PETROCAMP;1.719;-1;1.639
18;ALBACETE;ALBACETE;2006;AVDA. DE ESPANA [PROX. A C- SAN JUAN], S-N;N;INPEALSA;1.699;-1;1.649
19;ALBACETE;ALBACETE;2006;CR N-322, 337,8;I;REPSOL;1.719;1.839;1.729
20;ALBACETE;ALBACETE;2006;CALLE ALCALDE CONANGLA [C.C. EROSKI], S-N;N;FAMILY ENERGY;1.659;1.699;1.589
21;ALBACETE;ALBACETE;2006;CALLE ALMANSA, 2;I;CEPSA;1.739;1.871;1.765
22;ALBACETE;ALBACETE;2006;CALLE CTRA. DE JAEN, 79;I;REPSOL;1.759;1.889;1.729
23;ALBACETE;ALBACETE;2006;PG CAMPOLLANO-P. 2-CT, S.N.;D;REPSOL;1.719;1.839;1.719
24;ALBACETE;ALBACETE;2099;CARRETERA NACIONAL 301 KM. 256;D;INPEALSA;1.699;-1;1.629
25;ALBACETE;ALBACETE;2004;CARRETERA N-322 KM. 349;D;CEPSA;1.769;1.829;1.779
26;ALBACETE;SANTA ANA;2328;AVENIDA PRINCIPE, 2;D;REPSOL;1.669;1.799;1.679
27;ALBACETE;SALOBRAL [EL];2099;CTRA.AGUASNUEVAS KM 0,25;D;CORYMAR;-1;-1;-1
28;ALBACETE;ALBACETE;2007;CALLE AUTOVIA, SN;N;LA GAVIOTA GASOLINERA 24 HORA;1.709;-1;1.629
29;ALBACETE;ALBACETE;2007;POLIGONO CAMPOLLANO, 55;N;CEPSA;1.779;1.899;1.749
30;ALBACETE;ALBACETE;2007;AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67;N;VALERO 24H;1.729;-1;1.649
31;ALBACETE;ALBACETE;2007;AVENIDA 3� ESQUINA C- F No3, 3;N;FAST & GAS;1.699;-1;1.609
32;ALBACETE;ALBACETE;2007;SECTOR PARCELA T-3 LOCAL52, 14;N;ALCAMPO;1.69;1.8;1.69
33;ALBACETE;ALBACETE;2007;AVENIDA PRIMERA, 94;N;INPEALSA;1.699;-1;1.629
34;ALBACETE;ALBACETE;2007;MADRID-CARTAGENA km 248,5;D;REPSOL. LOS ANGELES DE LA MANCHA, S.L.;1.709;1.829;1.699
35;ALBACETE;ALBACETE;2007;AUTOVIA A-31 KM. 69;I;REPSOL;1.719;1.879;1.709
36;ALBACETE;ALBACETE;2007;POLIGONO CAMPOLLANO C-.F, 13;D;AVANZA OIL;-1;-1;1.619
